x,y
"83.485549132948","1.46668462819634"
"83.7312138728324","1.48562751053199"
"84.0780346820809","1.50706133045949"
"84.757225433526","1.54103801312825"
"85.7832369942197","1.45661800724993"
"86.7658959537572","1.46755902811796"
"87.8063583815029","1.55219947095131"
"88.7601156069364","1.46273145880278"
"89.8728323699422","1.4736063485843"
"90.7976878612717","1.47949201528363"
"91.8092485549133","1.47897766238856"
"92.7630057803468","1.45942490447732"
"93.8612716763006","1.47920544724209"
"94.8583815028902","1.50793573038111"
"95.8265895953757","1.41083325169002"
"96.8670520231214","1.45860928774371"
"97.849710982659","1.4021774272558"
