x, y
4.0274730619170604, -589.9359105990588
5.575345574805187, -937.0237876511674
7.4947853059107, -173.46288110497335
9.548023820074139, 187.24264268808474
8.277475763831102, -1027.6459844153578
10.7171960616901, -715.8991429528614
11.868859900353417, -257.7625990251472
12.518400034584506, -759.5080354923339
14.702195034962767, -549.5693149026702
9.785143795864993, 1751.1645249494795
7.21421855242254, 1640.6022026003266
7.19671014946989, 3001.8805321689906
6.008732586164033, 5367.136079198506
10.263922963027017, 4526.084278102611
11.53901023485037, 5388.048893836396
15.109643671576944, 7771.299188345027
15.621494266538424, 7974.915430090678
18.84520194105505, 7331.643736422888
23.983161671728265, 7855.2746765808915
26.68853415759725, 7512.563900266956
18.671198677142893, 10860.397505592962
22.84922238914047, 16019.05389778119
30.45176002680299, 24921.75256952025
43.29147167853709, 26634.171647194875
41.68048245377025, 21888.583872815503
60.057604807245454, 23067.320890118564
68.79991786181331, 23352.480897467773
59.605412474196726, 18225.274784657457
52.42134728241486, 16786.343445696933
58.75376917008009, 14440.541679725924
64.28210144066058, 14612.707642093665
67.52266905876124, 12658.575334767156
36.261739816486, 13195.82392166611
40.27138024576611, 11446.28054513818
47.21702854301988, 11422.125433657206
42.4791682427832, 9790.763777059674
42.241399807623736, 8277.259610708228
35.59577204491663, 4974.818161185387
30.579938828666226, 4955.850724653348
20.705415716493565, 2700.0226960779037
23.523836285624736, 3567.8234461292413
18.504112313162647, 3851.362305056904
17.084850908383505, 4198.936526635469
15.658456450549576, 5101.105623223495
18.09752828903996, 5463.270180595937
12.346342148778195, 2617.9925859478863
15.177083445913087, 2527.856733710163
12.338560636354796, 3223.0051768672965
